,사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자
36,202203,2호선,신도림,3403,64,29414,4211,43880,17218,114156,34732,118110,94570,72235,52047,47462,50718,47097,46978,54499,51646,55798,56317,54826,53937,58930,60464,65407,69369,79505,91028,105910,146559,60070,104654,47794,59148,47438,54015,34120,55247,14499,49700,42,11515,1,2,0,0,0,0,20220403
37,202203,2호선,신림,282,22,35115,3094,69965,17503,181795,32883,280991,56905,165255,45553,86565,40727,72077,41762,77782,50836,73809,57037,66395,61310,66370,79688,72745,97250,78687,129158,82935,231985,51196,198811,40808,117028,38428,110531,37624,101329,18603,76059,21,962,0,0,0,0,0,0,20220403
38,202203,2호선,신설동,37,2,1076,229,1285,1564,3728,4847,6796,11718,4219,7825,3243,6910,4324,6220,5477,6245,6022,6304,6683,5719,7314,5445,8129,4524,9363,5064,11836,6245,4248,4634,2422,2822,2210,2633,1688,2300,654,1789,3,243,0,0,0,0,0,0,20220403
39,202203,2호선,신정네거리,28,0,7581,713,14784,2201,42825,4412,39001,10222,20024,6954,14059,6380,12655,8084,13508,8879,12260,10721,10658,11164,10143,14516,10658,17562,10907,25057,10772,41503,6024,31939,4384,16829,3356,14854,2994,13593,1028,9590,4,767,2,1,0,0,0,0,20220403
40,202203,2호선,신촌,40,5,4214,2049,10941,11630,30219,28949,43950,68875,30231,73857,28818,48198,34539,44259,43470,49457,44917,56608,47056,50895,55029,46070,62327,50637,76635,67063,77423,88039,54652,57576,55761,30140,59317,27303,62398,24226,28071,20840,10,208,0,0,0,0,0,0,20220403
41,202203,2호선,아현,24,0,3877,836,9844,5785,24534,12343,32682,19786,19243,10660,13156,9118,12798,8982,14296,10669,13815,10870,12708,11953,15113,13130,20749,15015,17117,20348,17944,27976,10279,21851,6903,13766,5708,12943,4192,12303,1573,8782,2,27,1,3,0,0,0,0,20220403
42,202203,2호선,양천구청,39,0,4207,835,9711,2088,28102,4597,25850,8804,14346,4252,9057,3951,8196,4579,8767,5718,8161,6630,6562,7032,6418,8619,7375,10993,7872,15512,8477,25271,3656,21832,2329,11317,1871,10398,1718,9429,468,7163,1,601,0,0,0,0,0,0,20220403
43,202203,2호선,역삼,26,3,2923,6671,7390,32422,13094,112537,22521,297979,19519,246040,20485,97893,27214,53159,33753,47769,40029,54259,47291,43887,62067,38965,77341,36017,157503,40813,240020,46450,126632,27905,71363,16750,67142,13811,50109,11639,17639,9101,7,102,0,0,0,0,0,0,20220403
44,202203,2호선,영등포구청,23,1,4903,2782,10711,12424,33974,32974,39583,114010,24767,51024,20123,24159,21265,21345,23676,21241,24011,23129,24806,21822,27178,22667,31709,25012,47930,30536,94205,47439,32423,31913,22881,18050,21299,15577,16771,15021,6617,11946,2,766,0,1,0,0,0,0,20220403
45,202203,2호선,왕십리(성동구청),756,1,6297,1012,9086,5663,22502,11777,39749,25631,23765,16620,16399,13451,16635,13802,19222,15542,20346,16889,20806,16630,23565,18523,29277,21907,32994,30969,34171,47255,22296,28871,20310,17224,23425,14960,27234,14751,13639,12960,10,260,0,1,0,0,0,0,20220403
46,202203,2호선,용답,4,0,2156,136,3088,1008,6982,1582,11203,4286,6375,8057,4171,4184,4136,3346,5034,3850,5105,5952,4515,3817,5456,4538,7139,5728,6796,6546,4125,9584,2304,6862,1748,4326,1158,5006,1108,4841,385,3487,0,4,0,0,0,0,0,0,20220403
47,202203,2호선,용두(동대문구청),31,1,1031,112,1483,937,4214,2126,8128,5333,4180,3069,3133,2872,3253,3167,3677,2902,3602,3585,3698,3824,4115,4116,4162,3865,4050,4335,4960,7052,2243,4820,1178,2481,1177,2391,579,1859,203,1437,1,23,0,0,0,0,0,0,20220403
48,202203,2호선,을지로3가,1,0,691,1432,1813,15656,4651,55848,9256,134705,9574,55700,10569,26133,14236,20413,16907,19379,18723,21462,21808,19451,24547,17620,31077,18052,65650,21240,109552,24034,43325,13063,29342,6359,31111,5204,30288,4474,14052,3773,1,277,0,1,0,0,0,0,20220403
49,202203,2호선,을지로4가,4,1,825,1099,1681,12029,3251,29714,6622,70201,6657,35184,7564,19580,10980,17402,12587,16022,14658,15927,17122,14694,20360,13291,24780,11174,44453,10661,61198,10224,26528,5667,13472,3347,10680,2806,8102,2980,3047,2311,6,195,0,0,0,0,0,0,20220403
50,202203,2호선,을지로입구,130,61,1738,2100,2680,22709,7933,96162,13247,254112,13686,115203,15675,50773,22254,43203,27917,39139,35179,37544,40375,32476,49792,28305,58602,28954,115861,32536,206330,34588,81487,18997,72900,10631,46388,9763,32934,8927,10824,5684,6,3705,0,0,0,0,0,0,20220403
